Country Name,Country Code,Cost,Fruits,Vegetables,Starchy Staples,Animal-source Foods,Nuts,Oils and Fats,CS Fruits,CS Vegetables,CS Starchy Staples,CS Animal-sourced Foods,CS Nuts,CS Oils and Fats,Affordability,Percent cannot afford,Millions of people who cannot afford,GNI,Undernourishment,TagGNI,Vergleich
Philippines,PHL,3.84,0.77,1.02,0.68,0.8,0.38,0.2,0.2,0.27,0.18,0.21,0.1,0.05,1.88,51.4,58.5,3570,6.0,9.780821917808218,39.260504201680675
Poland,POL,3.43,0.65,1.05,0.4,0.8,0.42,0.11,0.19,0.31,0.12,0.23,0.12,0.03,0.31,8.0,3.1,17470,2.5,47.86301369863013,7.166285060103035
Portugal,PRT,2.99,0.62,0.82,0.35,0.74,0.36,0.11,0.21,0.27,0.12,0.25,0.12,0.04,0.27,13.1,1.3,23930,2.5,65.56164383561644,4.56059339740911
Romania,ROU,3.24,0.72,0.53,0.44,1.02,0.42,0.11,0.22,0.16,0.14,0.32,0.13,0.04,0.29,59.7,11.5,14220,2.5,38.95890410958904,8.316455696202532
Russian Federation,RUS,2.63,0.62,0.52,0.41,0.64,0.29,0.15,0.24,0.2,0.16,0.24,0.11,0.06,0.83,1.9,2.7,11720,2.5,32.10958904109589,8.190699658703073
Rwanda,RWA,3.22,0.4,0.32,0.62,1.43,0.22,0.23,0.12,0.1,0.19,0.45,0.07,0.07,2.39,74.6,10.0,840,33.2,2.3013698630136985,139.91666666666669
Sao Tome and Principe,STP,2.72,0.16,0.78,0.52,0.87,0.28,0.12,0.06,0.29,0.19,0.32,0.1,0.04,1.33,49.3,0.1,2220,15.7,6.082191780821918,44.72072072072072
Senegal,SEN,2.98,0.29,0.61,0.52,1.05,0.31,0.19,0.1,0.21,0.18,0.35,0.1,0.06,1.46,47.5,8.0,1530,4.5,4.191780821917808,71.09150326797385
Serbia,SRB,3.99,0.75,0.86,0.69,0.98,0.59,0.13,0.19,0.21,0.17,0.25,0.15,0.03,1.27,8.7,0.6,8890,2.5,24.356164383561644,16.38188976377953
Seychelles,SYC,3.62,0.32,1.15,0.58,1.04,0.37,0.16,0.09,0.32,0.16,0.29,0.1,0.05,0.32,38.8,0.0,14950,2.5,40.95890410958904,8.838127090301004
Sierra Leone,SLE,3.0,0.26,0.42,0.65,1.18,0.38,0.11,0.09,0.14,0.22,0.39,0.13,0.04,2.22,61.8,5.2,890,28.2,2.4383561643835616,123.03370786516854
Slovak Republic,SVK,2.98,0.64,0.92,0.37,0.62,0.33,0.09,0.22,0.31,0.12,0.21,0.11,0.03,0.27,19.3,1.1,20660,3.1,56.602739726027394,5.264762826718297
Slovenia,SVN,3.02,0.75,0.76,0.31,0.74,0.39,0.08,0.25,0.25,0.1,0.24,0.13,0.03,0.27,1.7,0.0,28360,2.5,77.6986301369863,3.8868124118476732
Spain,ESP,2.91,0.83,0.79,0.31,0.68,0.23,0.08,0.29,0.27,0.11,0.23,0.08,0.03,0.26,9.3,4.4,30110,2.5,82.4931506849315,3.5275655928263037
Sri Lanka,LKA,4.13,0.98,0.93,0.53,1.01,0.24,0.43,0.24,0.23,0.13,0.25,0.06,0.1,2.02,34.0,7.4,4020,3.8,11.013698630136986,37.49875621890547
Sudan,SDN,2.12,0.25,0.42,0.35,0.66,0.24,0.2,0.12,0.2,0.17,0.31,0.11,0.1,1.57,41.6,19.0,620,11.0,1.6986301369863013,124.80645161290325
Suriname,SUR,5.42,1.07,1.45,0.62,1.12,0.95,0.22,0.2,0.27,0.11,0.21,0.18,0.04,1.72,25.9,0.2,4470,9.8,12.246575342465754,44.257270693512304
Sweden,SWE,3.1,0.81,0.9,0.31,0.59,0.41,0.09,0.26,0.29,0.1,0.19,0.13,0.03,0.28,3.6,0.4,60530,2.5,165.83561643835617,1.8693209978523047
Switzerland,CHE,2.65,0.63,0.7,0.23,0.63,0.34,0.11,0.24,0.26,0.09,0.24,0.13,0.04,0.24,1.2,0.1,90810,2.5,248.7945205479452,1.0651359982380795
Syrian Arab Republic,SYR,5.11,0.84,0.37,0.94,1.86,0.62,0.49,0.17,0.07,0.18,0.36,0.12,0.1,3.79,86.2,18.4,700,32.2,1.917808219178082,266.45000000000005
Tajikistan,TJK,3.71,0.89,0.53,0.76,0.99,0.28,0.27,0.24,0.14,0.21,0.27,0.07,0.07,1.82,32.5,3.2,1130,9.5,3.095890410958904,119.83628318584071
